Location,Indicator,Period,Dim1,Tooltip,IndicatorCode,FactValueForMeasure,FactValueString,FactValueUoM,FactComments,LanguageName,'Facts'[LANGUAGE_CODE],LanguageOrder,SpaceTime,TimeDimValueCode,DataSourceDimValueCode,SpatialDimValueCode,Dim1ValueCode,Dim2ValueCode,Dim3ValueCode,SlicingDimCode,SlicingDimValueCode,IsLatestYear,LatestYearLabel,FactValueNumericPrefix
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Urban,8.01 [5.85-9.03],PHE_HHAIR_POP_CLEAN_FUELS,8.01,,,,English,en,1,AFG,2018,,AFG,URB,,,,,TRUE,Latest,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Rural,5.67 [1.39-11.66],PHE_HHAIR_POP_CLEAN_FUELS,5.67,,,,English,en,1,AFG,2018,,AFG,RUR,,,,,TRUE,Latest,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Total,12.1 [6.8-17.91],PHE_HHAIR_POP_CLEAN_FUELS,12.1,,,,English,en,1,AFG,2017,,AFG,TOTL,,,,,FALSE,2017,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Urban,7.63 [5.62-8.69],PHE_HHAIR_POP_CLEAN_FUELS,7.63,,,,English,en,1,AFG,2017,,AFG,URB,,,,,FALSE,2017,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Rural,4.8 [1.23-9.71],PHE_HHAIR_POP_CLEAN_FUELS,4.8,,,,English,en,1,AFG,2017,,AFG,RUR,,,,,FALSE,2017,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Total,10.9 [5.93-16.31],PHE_HHAIR_POP_CLEAN_FUELS,10.9,,,,English,en,1,AFG,2016,,AFG,TOTL,,,,,FALSE,2016,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Urban,7.24 [5.36-8.3],PHE_HHAIR_POP_CLEAN_FUELS,7.24,,,,English,en,1,AFG,2016,,AFG,URB,,,,,FALSE,2016,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Rural,4.11 [1.16-8.31],PHE_HHAIR_POP_CLEAN_FUELS,4.11,,,,English,en,1,AFG,2016,,AFG,RUR,,,,,FALSE,2016,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Total,9.86 [5.42-15.34],PHE_HHAIR_POP_CLEAN_FUELS,9.86,,,,English,en,1,AFG,2015,,AFG,TOTL,,,,,FALSE,2015,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Urban,6.87 [5.14-7.88],PHE_HHAIR_POP_CLEAN_FUELS,6.87,,,,English,en,1,AFG,2015,,AFG,URB,,,,,FALSE,2015,
